MJD	band	Flux	Flux_err	FilterSet	Instr
59265.156	ZTF_g	2.1588072157912886e-16	1.8889181792170203e-17	GeneralFilters	P48
59265.177	ZTF_g	2.16677522409458e-16	1.7162794098189368e-17	GeneralFilters	P48
59265.222	ZTF_r	1.6888678820578654e-16	9.644129782971911e-18	GeneralFilters	P48
59267.14	ZTF_r	1.6764695767663668e-16	9.110104700915846e-18	GeneralFilters	P48
59267.161	ZTF_r	1.6764695767663668e-16	1.0499781689191147e-17	GeneralFilters	P48
59267.22	ZTF_g	1.988904182382993e-16	3.4255565990679454e-17	GeneralFilters	P48
59269.137	ZTF_r	1.8862344678274254e-16	7.644059046819336e-18	GeneralFilters	P48
59269.159	ZTF_r	1.7587158460638343e-16	8.747120642311434e-18	GeneralFilters	P48
59269.247	ZTF_g	2.2688921943588174e-16	3.3435631003783457e-17	GeneralFilters	P48
59269.247	ZTF_g	1.6062526642184033e-16	3.358268363711823e-17	GeneralFilters	P48
59271.137	ZTF_r	1.5848774149564436e-16	9.342246681348214e-18	GeneralFilters	P48
59271.138	ZTF_r	1.7013578788278325e-16	9.088649391957696e-18	GeneralFilters	P48
59273.157	ZTF_g	2.2050267428752767e-16	3.0260479778475055e-17	GeneralFilters	P48
59273.208	ZTF_r	1.1576990491847098e-16	1.5994203436956534e-17	GeneralFilters	P48
59274.143	ZTF_g	1.6241040936553296e-16	2.9767517489150036e-17	GeneralFilters	P48
59275.157	ZTF_g	1.5453037589430742e-16	2.0922177189001127e-17	GeneralFilters	P48
59276.142	ZTF_r	1.712362374623462e-16	6.7817193334924174e-18	GeneralFilters	P48
59276.176	ZTF_g	1.9743032526651064e-16	1.7456644756363512e-17	GeneralFilters	P48
59278.14	ZTF_r	1.4321736419397476e-16	1.042073730408988e-17	GeneralFilters	P48
59278.206	ZTF_g	1.4395072649168432e-16	2.6649287274411408e-17	GeneralFilters	P48
59279.146	ZTF_r	1.5177340467709263e-16	8.666885242236174e-18	GeneralFilters	P48
59291.194	ZTF_r	1.629279813107773e-16	9.754044065943016e-18	GeneralFilters	P48
59291.194	ZTF_r	1.4750124179645975e-16	9.102195502971496e-18	GeneralFilters	P48
59293.181	ZTF_r	1.384189901914594e-16	1.0454065311590282e-17	GeneralFilters	P48
59293.182	ZTF_r	1.2623961942731055e-16	1.1743369619878079e-17	GeneralFilters	P48
